ds,y
2023-01-01,5.496714153011233
2023-01-02,6.430893169259381
2023-01-03,7.6085333734533505
2023-01-04,7.407280851126658
2023-01-05,3.92005716901957
2023-01-06,2.8434797461596997
2023-01-07,5.0485168835383645
2023-01-08,5.805896267614446
2023-01-09,6.13814462295715
2023-01-10,7.541866417400161
2023-01-11,5.4592948403677095
2023-01-12,3.7269423286341907
2023-01-13,3.3580405131364532
2023-01-14,1.5944853618347157
2023-01-15,3.352005244410043
2023-01-16,6.083793018112667
2023-01-17,6.024936791941311
2023-01-18,6.275421404236981
2023-01-19,3.3231095451447725
2023-01-20,1.742236078696666
2023-01-21,5.0118759138756035
2023-01-22,4.889608314898077
2023-01-23,6.7520702905031
2023-01-24,5.651481264523818
2023-01-25,5.4552528855780675
2023-01-26,4.38051774883739
2023-01-27,2.042007741071192
2023-01-28,3.9603867017612595
2023-01-29,4.553207463927348
2023-01-30,6.431309874483441
2023-01-31,6.512984376969417
2023-02-01,7.8903753330737265
2023-02-02,4.294559472851128
2023-02-03,2.173751927999134
2023-02-04,4.445695133980319
2023-02-05,3.9714640423366676
2023-02-06,6.970328757743012
2023-02-07,5.193482403780576
2023-02-08,4.748372638127897
2023-02-09,4.5433794719197245
2023-02-10,4.0083909754119835
2023-02-11,3.8329800415286344
2023-02-12,5.115120948380988
2023-02-13,6.498823005610506
2023-02-14,5.713092075754465
2023-02-15,5.395176017093157
2023-02-16,3.924341003552352
2023-02-17,4.365508160097027
2023-02-18,4.043691588368663
2023-02-19,3.5061906138680317
2023-02-20,7.162472209056126
2023-02-21,6.8449933241671115
2023-02-22,5.476559763643433
2023-02-23,5.035117601814546
2023-02-24,4.377846994835601
2023-02-25,4.669814956377939
2023-02-26,4.468474784469666
2023-02-27,6.5676374022716555
2023-02-28,7.599800574448531
2023-03-01,7.167488429533303
2023-03-02,3.982728613589939
2023-03-03,3.199650034137372
2023-03-04,2.67066140171725
2023-03-05,4.149947222073171
2023-03-06,7.7278371389786065
2023-03-07,8.663238710077328
2023-03-08,6.158394719292149
2023-03-09,5.50389728778878
2023-03-10,3.7854065743103584
2023-03-11,3.1703381595796922
2023-03-12,5.746010990123794
2023-03-13,8.491809421511917
2023-03-14,7.309634180858093
2023-03-15,7.833510035148041
2023-03-16,1.9190808242685509
2023-03-17,4.284134592099493
2023-03-18,3.9409665208845257
2023-03-19,5.124069572611065
2023-03-20,7.0839951700429875
2023-03-21,5.396352843828687
2023-03-22,6.087656029958049
2023-03-23,4.934400038331593
2023-03-24,4.978587670927321
2023-03-25,3.3741107728342543
2023-03-26,4.653044858645268
2023-03-27,6.528938888384495
2023-03-28,8.337785414593196
2023-03-29,6.674540565916797
2023-03-30,4.085988801514359
2023-03-31,4.052422597760696
2023-04-01,4.027920078917472
2023-04-02,6.4686449905328685
2023-04-03,6.3671043765532085
2023-04-04,7.1331826887548955
2023-04-05,5.992142841586481
2023-04-06,3.19069559561078
2023-04-07,3.8737369801734576
2023-04-08,4.23035934021085
2023-04-09,5.5435749951039925
2023-04-10,6.873031875516961
2023-04-11,6.083935631763784
2023-04-12,6.002067210414806
2023-04-13,4.3499575656776805
2023-04-14,2.8138009723488047
2023-04-15,3.8464798948265155
2023-04-16,5.980973933737622
2023-04-17,9.032266448564167
2023-04-18,7.712345725107579
2023-04-19,6.718724462364481
2023-04-20,4.656687704899834
2023-04-21,1.7357685647329177
2023-04-22,4.019713269504837
2023-04-23,5.675614825325634
2023-04-24,9.647784198300453
2023-04-25,7.383868485956152
2023-04-26,6.8011829524368554
2023-04-27,4.7348833894222855
2023-04-28,2.524323280873962
2023-04-29,5.227511497930604
2023-04-30,6.405779186532906
2023-05-01,8.014035571319743
2023-05-02,6.705303534404072
2023-05-03,7.940891459500894
2023-05-04,3.4062056347967995
2023-05-05,4.318319950755306
2023-05-06,6.313605847687091
2023-05-07,4.701771367176995
2023-05-08,6.695167433135489
2023-05-09,7.752803892747994
2023-05-10,6.073083032910147
2023-05-11,3.2958548049844736
2023-05-12,3.838487370222599
2023-05-13,3.0993080466125553
2023-05-14,6.204361661404418
2023-05-15,6.380502466965987
2023-05-16,9.241548471139433
2023-05-17,5.831766933151609
2023-05-18,4.562918258306457
2023-05-19,4.621903151247783
2023-05-20,2.9692089823662347
2023-05-21,5.996690703834889
2023-05-22,8.645530993943748
2023-05-23,6.122592370022202
2023-05-24,6.838115622481703
2023-05-25,5.1833241072221075
2023-05-26,4.628670344116966
2023-05-27,3.0015841263836363
2023-05-28,4.487235694608035
2023-05-29,7.898791343739764
2023-05-30,8.065521816278157
2023-05-31,6.942436152756852
2023-06-01,5.308351060932186
2023-06-02,3.2052842892227
2023-06-03,4.509250072884269
2023-06-04,6.139226319452546
2023-06-05,6.700959898558045
2023-06-06,9.672773192651263
2023-06-07,7.20423776178429
2023-06-08,3.809060892694088
2023-06-09,4.5803241578965554
2023-06-10,3.340776243957491
2023-06-11,6.671699988357811
2023-06-12,8.61236843405333
2023-06-13,7.0247779016163445
2023-06-14,7.73224250857835
2023-06-15,5.451606855294812
2023-06-16,4.784292247718751
2023-06-17,6.250712435300307
2023-06-18,5.677688807074041
2023-06-19,6.738498229149982
2023-06-20,6.994407328804055
2023-06-21,5.991517632830115
2023-06-22,5.000185757405736
2023-06-23,4.341845601002453
2023-06-24,4.669071790437891
2023-06-25,6.78872171057443
2023-06-26,7.54369782384689
2023-06-27,9.37591737404843
2023-06-28,6.581132623019124
2023-06-29,7.8359181718709845
2023-06-30,4.664822512412351
2023-07-01,3.573684973153135
2023-07-02,4.929107501938847
2023-07-03,8.051629885673751
2023-07-04,7.7373820500268105
2023-07-05,7.5982514888107495
2023-07-06,5.627448168316488
2023-07-07,4.004787790452007
2023-07-08,3.62251034996256
2023-07-09,4.5236143137757026
2023-07-10,7.161104056825091
2023-07-11,8.855705168137668
2023-07-12,7.136806277310387
2023-07-13,3.946933303492481
2023-07-14,4.289259167421609
2023-07-15,4.893082986221313
2023-07-16,5.193065640721931
2023-07-17,7.799805653299153
2023-07-18,8.095976630721731
2023-07-19,5.818203773811086
2023-07-20,5.588920981014278
2023-07-21,4.715324306400198
2023-07-22,5.629278388129336
2023-07-23,7.169186667419518
2023-07-24,6.306872717858081
2023-07-25,7.138404410822157
2023-07-26,7.514670877311947
2023-07-27,5.783381110039782
2023-07-28,4.708049004799534
2023-07-29,8.437420174070327
2023-07-30,6.724736664539335
2023-07-31,8.858569264457318
2023-08-01,9.068692752692018
2023-08-02,7.689488399870611
2023-08-03,4.992787452948753
2023-08-04,4.990432077448302
2023-08-05,3.8503250073395465
2023-08-06,5.955489085567654
2023-08-07,7.276101614909127
2023-08-08,8.235026667046672
2023-08-09,9.391217253699848
2023-08-10,3.4792530434588254
2023-08-11,4.956184585791084
2023-08-12,3.048895889149013
2023-08-13,5.758837364979781
2023-08-14,8.888877298167143
2023-08-15,8.255894085217362
2023-08-16,6.037275447558611
2023-08-17,4.669676065252182
2023-08-18,4.987983682812793
2023-08-19,3.9697066670830754
2023-08-20,6.485689358812742
2023-08-21,7.883960079565139
2023-08-22,7.578475256977618
2023-08-23,9.297425853274717
2023-08-24,6.057360335291688
2023-08-25,2.321704885682046
2023-08-26,4.924989152031151
2023-08-27,5.645905842923874
2023-08-28,8.72928311291906
2023-08-29,7.476016404612282
2023-08-30,7.077206860944019
2023-08-31,5.966890130415661
2023-09-01,5.2510642049713105
2023-09-02,3.5766999686674934
2023-09-03,6.011652610312867
2023-09-04,7.440366005423426
2023-09-05,7.653669448932793
2023-09-06,8.995859081153592
2023-09-07,5.905346100857736
2023-09-08,3.1628865949276905
2023-09-09,5.733319861239594
2023-09-10,8.506771581628001
2023-09-11,8.986238115597112
2023-09-12,6.826090254014028
2023-09-13,6.78463230646777
2023-09-14,6.805737077544929
2023-09-15,3.7545626221054915
2023-09-16,5.297738880792557
2023-09-17,7.197710976506199
2023-09-18,7.065303921929394
2023-09-19,8.324396402367789
2023-09-20,4.066060577726475
2023-09-21,4.552899825485543
2023-09-22,4.248125474792647
2023-09-23,3.6445978091430264
